gene_ID	match_ID	match_name	match_class	cluster_ID	exonic length (bp)	brain	spinal	kidney	heart	sk. muscle	main EO	Sachs' EO	Hunter's EO	sk. muscle (first rnd)	main EO (first rnd)	Sachs' EO (first rnd)
scaffold22205.g1	ENSDARG00000061591	abcb10	reciprocal	0.0	937	126.2	63.4	245.6	339.0	221.1	156.0	116.5	155.3	0.0	4.2	4.1
scaffold40.g27	ENSDARG00000011573	abcb11a	reciprocal	0.0	1997	4.0	1.9	22.7	1.0	0.0	0.5	0.5	2.5	0.0	0.0	0.0
scaffold21809.g5	ENSDARG00000070078	abcb11b	reciprocal	0.0	4256	9.3	57.1	27.3	0.7	10.9	1.1	2.0	2.9	0.0	0.0	0.2
scaffold1433.g11	ENSDARG00000036787	abcb3l1	reciprocal	0.0	3689	95.7	112.0	1396.7	425.1	75.2	221.2	194.0	111.2	7.8	1.8	1.0
scaffold3722.g9	ENSDARG00000010936	abcb4	reciprocal	0.0	4781	403.4	293.4	287.1	62.3	87.5	29.2	45.9	60.4	2.2	0.8	0.8
scaffold13233.g5	ENSDARG00000021787	abcb5	split_scaff	0.0	2516	0.3	0.0	5.6	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0
scaffold1374.g1	ENSDARG00000021787	abcb5	reciprocal	0.0	1857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0
scaffold168.g1	ENSDARG00000063297	abcb6	reciprocal	0.0	3948	487.7	855.2	342.8	466.1	741.3	806.6	811.5	671.9	11.9	13.2	10.1
scaffold20114.g1	ENSDARG00000062795	abcb7	reciprocal	0.0	3253	309.6	349.6	332.6	842.3	784.7	623.2	596.3	541.4	23.5	20.8	24.6
scaffold5904.g7	ENSDARG00000056672	abcb8	reciprocal	0.0	2157	257.9	223.8	216.6	366.4	373.0	498.6	481.0	512.0	2.7	4.8	3.2
scaffold5904.g8	ENSDARG00000056672	abcb8	split	0.0	1620	213.1	332.9	257.3	320.0	402.3	502.6	510.8	595.7	6.5	26.4	10.4
C7968809.g1	ENSDARG00000056200	abcb9	split_scaff	0.0	808	49.1	34.5	203.6	14.1	17.4	3.5	4.6	21.3	0.0	1.6	0.0
scaffold3297.g1	ENSDARG00000056200	abcb9	reciprocal	0.0	1575	61.5	41.3	248.0	44.7	12.8	16.7	15.4	19.9	0.6	0.0	0.0
C8015994.g2	ENSDARG00000059874	ABCC1	split_scaff	0.0	2312	153.8	216.8	119.6	608.8	1016.2	303.5	333.7	455.4	7.0	6.2	6.3
scaffold1883.g11	ENSDARG00000059874	ABCC1	reciprocal	0.0	3418	58.5	57.6	31.3	234.3	388.4	91.3	110.0	149.3	2.2	0.0	0.7
scaffold1883.g12	ENSDARG00000059874	ABCC1	split	0.0	1749	80.3	92.3	36.4	321.4	562.4	127.0	137.6	203.4	1.1	0.7	1.3
scaffold8828.g5	ENSDARG00000077988	ABCC10	reciprocal	0.0	9827	326.3	163.4	237.8	306.5	210.6	221.4	213.0	255.8	9.9	6.2	9.1
C7814890.g1	ENSDARG00000013050	abcc12	secondary	0.0	197	16.1	28.3	0.0	19.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaffold22128.g1	ENSDARG00000013050	abcc12	reciprocal	12.0	5009	39.6	23.5	285.5	59.8	10.4	0.9	1.3	0.0	0.8	0.0	0.0
scaffold5371.g4	ENSDARG00000014031	abcc2	secondary	0.0	2454	6.5	11.3	82.3	8.9	12.3	16.8	10.6	14.4	0.4	0.0	0.0
scaffold5371.g5	ENSDARG00000014031	abcc2	reciprocal	0.0	6458	5.0	43.6	355.1	11.9	11.2	9.6	17.9	19.4	0.1	0.6	0.1
scaffold1230.g3	ENSDARG00000077243	ABCC3	reciprocal	0.0	5027	224.7	243.0	567.2	315.4	186.5	96.0	448.0	139.9	3.2	1.0	4.4
scaffold1223.g20	ENSDARG00000058953	abcc4	reciprocal	0.0	7142	120.0	109.4	198.7	176.8	142.2	134.9	161.2	171.1	6.3	2.2	4.6
scaffold12426.g2	ENSDARG00000061233	abcc5	reciprocal	0.0	7217	700.4	578.6	563.9	312.4	279.3	125.5	222.9	254.0	3.7	4.9	3.5
scaffold12426.g3	ENSDARG00000061233	abcc5	split	0.0	4481	513.8	218.8	205.2	259.8	273.8	122.3	193.4	183.8	3.8	1.7	1.9
scaffold15866.g1	ENSDARG00000061233	abcc5	secondary	0.0	6332	11.7	13.2	13.1	447.9	613.8	10.5	16.7	18.8	36.9	6.4	10.0
scaffold26645.g1	ENSDARG00000009582	ABCC6 (1 of 3)	reciprocal	0.0	1779	4.5	3.7	0.0	0.0	2.3	0.0	2.6	4.0	0.0	0.0	0.0
scaffold5739.g1	ENSDARG00000016750	abcc6a	secondary	0.0	2262	5.3	5.3	0.0	0.0	3.6	0.0	0.0	1.3	0.0	0.0	0.0
scaffold6721.g2	ENSDARG00000016750	abcc6a	reciprocal	0.0	6007	31.0	6.6	5.7	10.0	46.2	3.1	3.4	12.3	1.1	0.2	0.3
scaffold26524.g2	ENSDARG00000051879	abcc8	reciprocal	5.0	4971	408.4	77.7	0.2	2354.4	374.7	3.0	6.2	11.2	8.3	0.3	3.1
scaffold7109.g6	ENSDARG00000051879	abcc8	secondary	0.0	1820	22.2	63.2	17.7	148.4	137.0	129.7	212.7	187.1	3.7	8.6	3.8
scaffold7109.g7	ENSDARG00000051879	abcc8	secondary	0.0	509	18.7	78.4	23.8	188.7	328.0	197.0	344.6	337.5	13.2	15.3	19.6
scaffold9328.g2	ENSDARG00000015985	abcc9	reciprocal	7.0	5568	337.3	100.4	37.0	874.9	1379.7	4061.0	4079.5	3991.3	15.5	55.0	75.9
scaffold2878.g3	ENSDARG00000074876	abcd1	secondary	3.0	4865	312.9	170.2	3.3	0.4	0.0	0.6	1.3	1.5	0.2	0.3	0.0
scaffold3742.g2	ENSDARG00000074876	abcd1	reciprocal	0.0	5528	434.2	626.9	312.2	498.9	261.6	426.9	349.9	378.7	9.4	8.0	7.9
scaffold12012.g1	ENSDARG00000015167	abcd3a	reciprocal	0.0	2979	1078.2	1630.6	727.4	1118.0	638.1	1123.7	1026.0	1045.4	29.2	47.9	41.8
scaffold13318.g1	ENSDARG00000015167	abcd3a	split_scaff	0.0	1314	280.3	301.7	162.1	295.3	84.2	335.8	311.0	219.9	3.6	2.0	5.8
scaffold618.g20	ENSDARG00000002947	abcd3b	reciprocal	0.0	3013	150.4	119.8	157.1	161.3	62.8	53.8	61.3	60.4	1.6	2.2	0.8
scaffold21568.g2	ENSDARG00000061770	ABCD4	reciprocal	0.0	2804	409.3	506.8	823.5	418.9	535.2	708.3	544.0	657.3	12.3	19.0	20.0
scaffold15789.g3	ENSDARG00000007216	abce1	reciprocal	0.0	4576	384.7	445.9	596.6	537.7	6928.3	851.5	751.3	808.9	36.2	22.4	26.2
scaffold16304.g2	ENSDARG00000007216	abce1	secondary	0.0	2304	2790.6	3927.9	1637.4	3615.6	10641.8	4137.9	4059.1	4291.9	163.3	269.3	184.8
scaffold1386.g5	ENSDARG00000031795	abcf1	reciprocal	0.0	3250	782.7	617.8	510.2	671.0	425.8	1750.1	655.1	581.1	49.8	62.7	44.2
scaffold10475.g5	ENSDARG00000038785	abcf2a	reciprocal	0.0	2305	1680.7	2182.8	1894.6	818.2	3069.2	1320.2	1074.7	1483.5	48.6	31.5	26.0
scaffold2781.g6	ENSDARG00000089705	ABCF3	reciprocal	0.0	2686	584.2	910.7	558.0	343.8	5157.7	740.2	855.2	799.8	47.8	16.9	23.5
scaffold4223.g6	ENSDARG00000063475	abcg1	reciprocal	0.0	2427	14.4	0.8	0.0	0.0	23.2	0.0	0.0	0.4	0.0	0.0	0.0
scaffold734.g2	ENSDARG00000079361	abcg2b	reciprocal	11.0	2027	34.1	7.3	137.9	2.8	0.0	1.9	2.8	4.5	0.5	0.0	0.0
scaffold5707.g10	ENSDARG00000058574	abcg2c	reciprocal	0.0	2206	74.5	101.4	23.8	10.3	10.0	24.2	19.9	12.8	4.3	9.4	6.6
scaffold11494.g3	ENSDARG00000016818	abcg2d	reciprocal	0.0	2871	109.2	137.4	29.5	30.8	14.0	8.2	17.9	22.2	0.3	0.5	0.5
scaffold8475.g10	ENSDARG00000061047	abcg4a	secondary	0.0	894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaffold8705.g14	ENSDARG00000061047	abcg4a	reciprocal	4.0	2458	352.9	349.3	0.0	0.8	0.0	0.0	0.4	0.8	0.0	0.0	0.0
scaffold1990.g8	ENSDARG00000063078	abcg5	reciprocal	0.0	2147	7.8	17.3	32.0	5.8	4.7	13.1	13.0	11.8	0.0	0.6	0.4
scaffold1990.g7	ENSDARG00000063059	abcg8	reciprocal	0.0	2469	22.5	21.8	18.4	1.5	7.3	1.9	6.0	8.2	0.4	0.0	0.0
scaffold6348.g1	ENSDARG00000071341	abch1	reciprocal	3.0	2958	148.1	165.1	5.5	6.8	10.9	4.1	7.6	9.9	0.6	2.2	1.0
scaffold13269.g11	ENSDARG00000076435	ABHD10 (2 of 2)	synteny	0.0	2979	625.8	726.0	457.0	533.5	713.1	526.8	565.6	630.6	11.9	8.3	9.0
scaffold10789.g16	ENSDARG00000075627	abhd10b	reciprocal	0.0	2099	226.9	556.8	696.2	288.2	382.4	390.1	356.0	355.8	10.0	19.8	13.9
scaffold3.g10	ENSDARG00000069501	abhd11	reciprocal	0.0	3380	1316.6	537.5	103.3	203.4	70.8	242.3	170.9	132.1	5.1	18.8	13.4
scaffold4371.g3	ENSDARG00000071004	abhd12	reciprocal	0.0	5264	428.8	595.7	347.6	198.0	206.0	260.6	198.3	149.9	9.3	8.9	7.0
scaffold8582.g1	ENSDARG00000092071	ABHD12B (2 of 2)	reciprocal	0.0	1017	6.2	11.9	26.8	20.6	0.0	0.9	2.8	4.0	3.8	6.4	5.3
scaffold9714.g1	ENSDARG00000059209	abhd13	reciprocal	0.0	1468	116.8	115.1	405.6	157.4	289.1	184.4	218.6	245.0	14.3	15.0	12.0
scaffold8717.g6	ENSDARG00000058367	abhd14a	reciprocal	0.0	2219	1425.0	2235.6	874.2	1999.0	1431.4	3078.3	3188.3	3158.9	41.9	176.7	118.1
scaffold20035.g2	ENSDARG00000023880	ABHD14B	reciprocal	0.0	3488	539.3	373.4	689.5	274.3	106.7	123.6	132.1	115.9	4.1	3.7	3.7
scaffold3478.g11	ENSDARG00000079748	ABHD15	reciprocal	0.0	1323	11.4	14.7	0.0	50.3	9.1	16.3	9.9	13.7	0.0	1.0	0.6
scaffold25760.g4	ENSDARG00000078929	abhd16a	reciprocal	0.0	1845	2202.1	2590.6	1389.5	1011.9	1710.6	1116.6	1269.3	1528.6	33.7	51.4	44.2
scaffold5756.g5	ENSDARG00000025797	abhd2a	reciprocal	0.0	4275	383.6	228.2	557.4	407.1	617.8	344.1	365.1	355.5	20.4	12.8	10.8
scaffold23334.g1	ENSDARG00000045804	abhd2b	reciprocal	12.0	2487	125.4	37.7	30.0	39.4	1.6	3.4	7.1	0.8	0.0	0.0	0.0
scaffold616.g2	ENSDARG00000018809	abhd3	reciprocal	12.0	1796	506.0	106.5	36.0	23.3	3.4	0.5	224.9	5.6	0.0	0.7	2.6
scaffold8502.g3	ENSDARG00000018809	abhd3	secondary	0.0	1717	855.1	513.6	416.8	137.4	207.4	104.2	104.3	117.7	10.6	6.8	4.9
scaffold10780.g8	ENSDARG00000025122	abhd4	secondary	0.0	2216	185.2	200.2	732.8	204.7	216.0	126.8	140.6	122.2	9.5	17.6	7.6
scaffold3409.g4	ENSDARG00000025122	abhd4	reciprocal	0.0	1837	364.2	643.3	184.6	288.4	465.4	591.6	501.3	588.6	9.4	9.2	18.0
scaffold7091.g3	ENSDARG00000076874	abhd5	reciprocal	0.0	1970	72.5	66.4	140.4	68.6	120.5	177.4	144.0	211.3	8.3	11.2	9.0
scaffold3199.g8	ENSDARG00000078831	ABHD5 (2 of 2)	reciprocal	0.0	1476	7.5	5.0	2.1	0.6	79.0	1.9	17.7	1.4	34.4	5.3	0.5
scaffold1155.g8	ENSDARG00000060756	abhd6a	reciprocal	12.0	1806	143.7	124.9	671.7	74.3	21.2	0.5	0.5	2.2	0.0	0.0	0.0
scaffold8822.g10	ENSDARG00000079719	ABHD8 (1 of 2)	reciprocal	4.0	1776	328.9	260.3	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
scaffold26004.g3	ENSDARG00000076620	ABHD8 (2 of 2)	reciprocal	0.0	1902	3.8	5.4	1.1	6.5	9.5	3.9	3.9	5.3	0.5	0.0	0.0
scaffold5553.g7	ENSDARG00000010155	abi1a	secondary	0.0	2702	390.7	546.6	710.1	799.3	839.8	464.6	525.2	630.5	31.9	19.7	19.1
scaffold5632.g1	ENSDARG00000010155	abi1a	reciprocal	0.0	876	369.7	485.3	814.6	728.5	718.7	365.8	477.1	490.2	24.0	5.9	9.7
scaffold5.g8	ENSDARG00000062991	abi1b	reciprocal	0.0	2811	1790.9	779.7	34.8	374.2	56.5	116.3	109.5	156.7	2.0	3.2	1.1
scaffold655.g1	ENSDARG00000058207	ABI2 (1 of 2)	synteny	0.0	2382	929.9	352.3	72.9	291.9	304.0	212.8	193.1	216.8	7.2	4.4	5.8
scaffold948.g5	ENSDARG00000014875	ABI2 (2 of 2)	reciprocal	0.0	1675	847.7	475.5	182.6	482.6	931.9	764.0	722.4	1234.9	22.9	24.8	16.5
scaffold2470.g5	ENSDARG00000060072	ABI3 (1 of 2)	reciprocal	0.0	2507	550.2	720.6	2816.4	470.4	386.7	194.7	377.4	386.9	6.5	7.2	6.1
scaffold17.g3	ENSDARG00000063283	ABI3 (2 of 2)	reciprocal	0.0	2231	3.6	4.2	1.8	3.0	11.7	21.0	79.0	30.3	0.0	0.6	0.7
scaffold16404.g2	ENSDARG00000071095	abi3bp	secondary	0.0	770	101.0	30.1	0.0	97.6	60.1	81.5	120.0	26.2	1.2	5.1	3.0
scaffold8251.g1	ENSDARG00000071095	abi3bp	reciprocal	10.0	2884	724.9	732.9	0.0	792.4	129.7	271.9	255.2	443.9	14.6	2.7	10.4
scaffold16404.g3	ENSDARG00000062156	ABI3BP (2 of 2)	synteny	0.0	3700	86.2	31.4	4.4	105.9	115.3	92.2	128.6	57.4	20.4	14.0	17.0
scaffold8475.g7	ENSDARG00000035187	abl1	reciprocal	0.0	4135	202.5	269.4	89.1	748.2	198.0	483.7	364.6	431.6	6.0	5.7	10.0
scaffold2688.g3	ENSDARG00000013841	abl2	reciprocal	0.0	6817	111.2	60.7	41.8	78.1	120.7	71.3	59.1	66.3	3.8	2.9	2.5
scaffold13063.g10	ENSDARG00000060149	ablim1a	secondary	7.0	3553	347.1	1560.5	102.0	12179.0	4225.8	3359.6	2969.1	4516.0	125.3	127.2	91.3
scaffold200.g5	ENSDARG00000060149	ablim1a	reciprocal	12.0	6217	439.9	739.3	299.8	319.9	10.4	7.7	5.9	4.1	3.4	0.4	0.7
scaffold10536.g4	ENSDARG00000045064	ablim1b	synteny	0.0	2305	167.0	430.1	38.1	6095.0	1369.2	1203.1	975.1	1494.5	32.8	8.4	23.3
scaffold12189.g2	ENSDARG00000055223	ABLIM2	reciprocal	0.0	5075	2077.0	1450.1	145.6	1052.1	5084.5	1082.9	1317.4	1155.8	195.3	42.2	91.2
scaffold407.g5	ENSDARG00000088168	ablim3	reciprocal	0.0	3847	426.4	168.7	12.6	21.8	180.9	132.5	82.9	162.9	9.7	6.1	3.6
scaffold8545.g14	ENSDARG00000088168	ablim3	secondary	0.0	2643	142.0	66.4	74.8	929.1	247.4	426.4	464.9	519.2	17.8	29.0	26.2
scaffold23910.g1	ENSDARG00000019207	abo	reciprocal	0.0	857	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaffold8081.g3	ENSDARG00000061355	abp1	reciprocal	0.0	4833	8.2	1.3	1.3	3.1	1.2	0.0	0.0	0.0	0.0	0.0	0.0
scaffold3400.g4	ENSDARG00000087388	ABRA (2 of 3)	reciprocal	0.0	1685	25.0	34.2	24.6	28.2	9.5	61.7	34.3	34.8	4.5	3.9	5.0
scaffold1622.g3	ENSDARG00000038583	ABRA (3 of 3)	reciprocal	8.0	3253	388.4	55.1	0.0	1288.7	351.2	54.4	57.9	14.0	4.1	0.0	2.1
scaffold2706.g2	ENSDARG00000033854	abrab	reciprocal	1.0	2016	0.8	3.2	0.0	4.7	1434.8	3.7	13.9	16.0	48.9	0.6	6.9
scaffold17079.g5	ENSDARG00000042876	abracl	reciprocal	0.0	1135	231.5	253.5	6458.4	149.2	170.1	183.3	143.9	146.0	12.7	8.0	2.0
scaffold6522.g4	ENSDARG00000043666	ABT1	reciprocal	0.0	1183	462.2	474.7	1027.2	531.4	836.6	822.0	684.6	703.8	34.0	56.0	49.4
scaffold14528.g7	ENSDARG00000063354	ABTB1	reciprocal	0.0	3082	1873.7	1135.5	1548.9	1668.2	1833.4	7448.2	7233.5	6965.2	142.0	280.1	290.7
scaffold3026.g7	ENSDARG00000062000	ABTB2 (1 of 2)	reciprocal	0.0	2798	93.3	181.8	14.8	232.8	250.9	196.9	215.4	291.4	8.9	5.6	5.5
scaffold8524.g2	ENSDARG00000062000	ABTB2 (1 of 2)	split_scaff	7.0	1008	70.1	117.9	0.0	152.8	169.6	110.6	134.2	213.5	1.9	0.0	2.3
